Symbol,Name,Sector,Price,Price/Earnings,Earnings/Share,52 Week High,52 Week Low
EMR,Emerson Electric Company,Industrials,66.4,25.74,2.35,74.45,56.77
ETR,Entergy Corp.,Utilities,72.02,10.65,-3.26,87.95,69.63
EVHC,Envision Healthcare,Health Care,35.34,10.91,-0.48,73,23.77
EOG,EOG Resources,Energy,101.04,246.44,-1.98,119,81.99
EQT,EQT Corporation,Energy,46.25,53.16,-2.69,67.84,47.13
EFX,Equifax Inc.,Industrials,114,19.03,4.04,147.02,90.72
EQIX,Equinix,Real Estate,409.98,23.06,1.77,495.345,361.9
EQR,Equity Residential,Real Estate,55.26,17.6,1.63,70.455,56.07
ESS,"Essex Property Trust, Inc.",Real Estate,218.28,18.66,6.27,270.04,214.03
EL,Estee Lauder Cos.,Consumer Staples,131.46,37.78,3.35,138.74,81.69
RE,Everest Re Group Ltd.,Financials,241.06,27.24,23.71,277.17,208.81
ES,Eversource Energy,Utilities,56.11,18.22,2.96,66.15,55.2
EXC,Exelon Corp.,Utilities,35.98,14.51,1.23,42.67,33.3
EXPE,Expedia Inc.,Consumer Discretionary,123.03,30.99,1.81,161,115.55
EXPD,Expeditors International,Industrials,60.36,25.26,2.36,67.54,51.96
ESRX,Express Scripts,Health Care,73.35,10.72,5.39,83.485,55.8
EXR,Extra Space Storage,Real Estate,77.56,18.12,2.92,88.56,71.34
XOM,Exxon Mobil Corp.,Energy,76.07,21.37,1.88,89.3,76.05
FFIV,F5 Networks,Information Technology,137.25,21.21,6.51,149.5,114.63
FB,"Facebook, Inc.",Information Technology,171.58,27.9,5.39,195.32,132.44
FAST,Fastenal Co,Industrials,52.15,27.02,2.01,57.815,39.79
FRT,Federal Realty Investment Trust,Real Estate,108.11,18.35,3.5,143.79,109.74
FDX,FedEx Corporation,Industrials,239.27,19.45,11.07,274.66,182.89
FIS,Fidelity National Information Services,Information Technology,92.74,22.08,1.72,103.65,77.63
FITB,Fifth Third Bancorp,Financials,31.1,16.9,2.85,33.91,23.2
FE,FirstEnergy Corp,Utilities,30.64,11.18,-14.49,35.22,27.93
FISV,Fiserv Inc,Information Technology,133.05,27.32,4.14,144.2,106.2
FLIR,FLIR Systems,Information Technology,46.46,25.53,1.21,52.88,33.75
FLS,Flowserve Corporation,Industrials,40.82,26.17,1.12,51.92,37.51
FLR,Fluor Corp.,Industrials,55.31,19.9,1.99,62.09,37.0351
FMC,FMC Corporation,Materials,80.87,32.48,1.56,98.7,56.53
FL,Foot Locker Inc,Consumer Discretionary,45.88,9.5,4.91,77.86,28.42
F,Ford Motor,Consumer Discretionary,10.43,5.89,1.9,13.48,10.19
FTV,Fortive Corp,Industrials,69.14,25.05,2.46,76.68,54.8844
FBHS,Fortune Brands Home & Security,Industrials,62.44,20.27,3.04,73.62,55.25
BEN,Franklin Resources,Financials,38,12.67,3,47.65,37.01
FCX,Freeport-McMoRan Inc.,Materials,17.16,14.67,1.24,20.25,11.05
GPS,Gap Inc.,Consumer Discretionary,31.17,15.35,1.69,35.68,21.02
GRMN,Garmin Ltd.,Consumer Discretionary,61.13,21.23,2.69,64.96,48.5
IT,Gartner Inc,Information Technology,114.26,36.86,2.31,142.16,97.96
GD,General Dynamics,Industrials,206.05,20.71,9.55,229.54,181.94
GE,General Electric,Industrials,14.45,13.76,-0.72,30.59,14.71
GGP,General Growth Properties Inc.,Real Estate,21.62,13.86,1.34,25.72,18.83
GIS,General Mills,Consumer Staples,53.99,17.53,2.77,63.73,49.65
GM,General Motors,Consumer Discretionary,40.75,6.58,6,46.76,31.92
GPC,Genuine Parts,Consumer Discretionary,96.31,21.17,4.6,107.75,79.86
GILD,Gilead Sciences,Health Care,78.22,8.16,9.95,89.54,63.759
GPN,Global Payments Inc.,Information Technology,100.59,27.86,1.58,113.26,76.47
GS,Goldman Sachs Group,Financials,246.35,12.44,8.61,273.79,209.62
GT,Goodyear Tire & Rubber,Consumer Discretionary,30.75,9.92,4.74,37.2,28.81
GWW,Grainger (W.W.) Inc.,Industrials,258.6,22.57,10.02,298.145,155
HAL,Halliburton Co.,Energy,47.41,38.86,-0.53,57.86,38.181
HBI,Hanesbrands Inc,Consumer Discretionary,19.57,10.04,1.41,25.73,18.9
HOG,Harley-Davidson,Consumer Discretionary,47.54,13.7,2.98,63.4,44.52
HRS,Harris Corporation,Information Technology,149.84,26.38,4.43,160.67,104.16
HIG,Hartford Financial Svc.Gp.,Financials,53.34,14.34,2.27,59.2,46.35
HAS,Hasbro Inc.,Consumer Discretionary,96.48,20.57,4.34,116.2,87.92
HCA,HCA Holdings,Health Care,95.97,14.07,5.94,106.84,71.18
HCP,HCP Inc.,Real Estate,22.64,10.99,1.33,33.67,22.8
HP,Helmerich & Payne,Energy,64.87,-54.51,-1.2,75.02,42.16
HSIC,Henry Schein,Health Care,70.85,19.85,3.1,93.495,65.28
HES,Hess Corporation,Energy,43,-9.33,-19.94,55.48,37.25
HPE,Hewlett Packard Enterprise,Information Technology,15.04,11.57,0.21,24.88,12.815
HLT,Hilton Worldwide Holdings Inc,Consumer Discretionary,78.66,36.42,1.05,88.11,55.79
HOLX,Hologic,Health Care,38.8,19.21,2.64,46.8,35.76
HD,Home Depot,Consumer Discretionary,181.22,28.1,6.46,207.605,136.82
HON,Honeywell Int'l Inc.,Industrials,146.02,20.68,2.08,165.13,119.31
HRL,Hormel Foods Corp.,Consumer Staples,32.21,20.39,1.57,38,29.75
HST,Host Hotels & Resorts,Real Estate,18.75,11.23,1.02,21.53,17.26
HPQ,HP Inc.,Information Technology,19.92,12.07,1.49,24.1,15.39
HUM,Humana Inc.,Health Care,262.37,22.39,4.06,293.35,189.01
HBAN,Huntington Bancshares,Financials,15.1,15.41,1,16.53,12.14
HII,Huntington Ingalls Industries,Industrials,225.37,18.75,12.15,253.44,183.42
IDXX,IDEXX Laboratories,Health Care,169.28,53.57,2.94,198.73,140.63
INFO,IHS Markit Ltd.,Industrials,43.73,26.19,1,49.19,37.82
ITW,Illinois Tool Works,Industrials,156.15,23.62,4.86,179.07,126.52
ILMN,Illumina Inc,Health Care,209.54,52.25,4.92,248.97,158.0203
INCY,Incyte,Health Care,83.92,-119.89,0.54,153.15,84.21
IR,Ingersoll-Rand PLC,Industrials,87.6,19.38,5.07,97.67,77.26
INTC,Intel Corp.,Information Technology,42.75,12.32,1.98,50.85,33.23
ICE,Intercontinental Exchange,Financials,67,22.95,2.37,76.1378,56.8
IBM,International Business Machines,Information Technology,147.59,10.67,6.11,182.79,139.13
IP,International Paper,Materials,56.05,15.57,5.14,66.94,49.6
IPG,Interpublic Group,Consumer Discretionary,21.34,15.46,1.49,25.71,18.3
IFF,Intl Flavors & Fragrances,Materials,138,24.17,5.05,157.4,116.3
INTU,Intuit Inc.,Information Technology,152.75,40.52,3.72,170.59,111.9
ISRG,Intuitive Surgical Inc.,Health Care,381.87,48.58,5.67,452,233.10643
IVZ,Invesco Ltd.,Financials,31.92,11.87,2.74,38.43,29.36
IQV,IQVIA Holdings Inc.,Health Care,95.23,21.74,0.76,110.67,75.94
IRM,Iron Mountain Incorporated,Real Estate,32.07,15.42,0.46,41.53,32.05
JBHT,J. B. Hunt Transport Services,Industrials,114.81,30.62,6.19,126.49,83.35
JEC,Jacobs Engineering Group,Industrials,62.82,19.45,2.43,72.18,49.31
SJM,JM Smucker,Consumer Staples,118.37,15.35,5.1,143.68,99.565
JNJ,Johnson & Johnson,Health Care,126.36,17.31,0.39,148.32,113.15
JCI,Johnson Controls International,Industrials,36.55,14,1.71,44.37,34.51
JPM,JPMorgan Chase & Co.,Financials,107.88,15.43,6.3,117.3529,81.635
JNPR,Juniper Networks,Information Technology,24.66,14.09,0.78,30.96,23.87
KSU,Kansas City Southern,Industrials,103.53,19.8,9.16,114.85,81.54
K,Kellogg Co.,Consumer Staples,65.98,16.5,1.95,76.69,58.76
KEY,KeyCorp,Financials,20.08,14.66,1.12,22.22,16.28
KMB,Kimberly-Clark,Consumer Staples,111.69,17.93,6.41,136.21,109.67
